clean_text,Category,Urgency
anniversary special buy free loyal customer exclusive offer code welcome,promotions,Low
amazon used new device refund processed claim bit fakeprize complete hrshrs,spam,Low
google inquiry following google application rate dropped apply stop opt,spam,Low
digital ritual experience creation cross cultural ceremony design join virtualrituals space anthropological framework,social_media,Low
post moved programming help trending cooking comment view support site ticket,forum,Low
memory week friend checked downtown cafe photo menu place cafe,social_media,Low
paypal fund release held verification confirm paypal fund release pay,spam,Low
step verification code account verification enter share number,verify_code,Low
secure access number enter verify password reset session auto cancel invalid attempt,verify_code,Low
moderation notice community guideline update thread discussion moved general support continue support site ticket,forum,Low
news mike chen started new position group update hiking buddy posted article trending startup founder best summer destination,social_media,Low
netflix subscription suspended unusual login detected russia secure account account suspended,spam,Low
post moved technical support thread discussion started pixelartist setting support site ticket,forum,Low
nearby meetup today view profile profile john accept reject friend pending,social_media,Low
user spotlight member spotlight event start time prepare support site ticket,forum,Low
apple verification code login confirmation share requested gmt,verify_code,Low
free dessert order deal end time item lowest price shop use code vip,promotions,Low
event reminder meetup user techguru post support site ticket,forum,Low
forum contest photo contest thread discussion moved general support continue support site ticket,forum,Low
chance warehouse clearance final hour biggest sale end time,promotions,Low
new reply home server setup earned achievement badge view profile wiki site page,forum,Low
policy update term service change restaurant main pool closed aug maintenance sep pst assignment confirmed manage booking update,updates,Low
microsoft withdrawal auth token expires est support contact,verify_code,Low
github verification pin required password reset apple,verify_code,Low
github verification enter verify password reset session auto cancel invalid attempt,verify_code,Low
authentication token token expires pst support contact,verify_code,Low
appointment confirmed dec gmt thank payment applied account receipt update,updates,Low
new reply home server setup thread discussion moved general support continue thread,forum,Low
member exclusive extra clearance hello valued member enjoy free shipping week shop expires date,promotions,Low
nearby product launch today story paris received like comment insight insight post,social_media,Low
post moved general discussion thread discussion moved general support continue thread,forum,Low
ama session science professor event start time prepare thread,forum,Low
payment received invoice inv updated privacy policy review change update effective dec,updates,Low
new thread career advice match alert report report wiki site page,forum,Low
amazon used new device immediate action required subscription payment failed update payment bit fakeprize support scam,spam,Low
verification pin access code password reset valid,verify_code,Low
auto payment failed subscription september statement available view download update action needed payment scheduled,updates,High
login code reply enter verify password reset session auto cancel invalid attempt,verify_code,Low
anniversary discount hello valued member enjoy buy free shop expires date,promotions,Low
password reset pin account recovery pin submit minute browser firefox window suspicious activity monitoring activated,verify_code,Low
warning violation python coding challenge thread discussion started pixelartist setting thread,forum,Low
chance end season sale celebrate entire purchase valid code save,promotions,Low
payment overdue notice package couldn delivered tracking update ignore,spam,Low
membership upgrade delivered achieved updated user agreement review change update effective oct,updates,Low
mod application open technical support user pixelartist posted helpful solution view wiki site page,forum,Low
selected maldives trip refund processed claim bit fakeprize complete hrshrs,spam,Low
event invitation workshop oct view profile user sarah accept reject friend pending,social_media,Low
wiki edit approved techsupport comment report thread,forum,Low
moderator comment processed thread discussion moved general support continue wiki site page,forum,Low
gourmet food festival pas vip tasting experience regular festival pas unlimited sample artisan complimentary wine pairing guide,promotions,Low
appointment reminder eye exam aug gmt new feature security update install status changelog included,updates,Low
new event product launch article sydney received like comment insight insight post,social_media,Low
free iphone pro survey microsoft requires immediate password update click failure hrshrs cause lockout,spam,Low
john smith liked article group photography group invited rsvp event workshop,social_media,Low
new message tech enthusiast chat group update hiking buddy posted story trending remote worker favorite tech tool,social_media,Low
warning violation home server setup user datawiz report support site ticket,forum,Low
anniversary linkedin group photography group invited rsvp event meetup,social_media,Low
login alert verification step needed account verification enter share number,verify_code,Low
achievement unlocked community star event start time prepare wiki site page,forum,Low
data usage alert monthly quota new feature dark mode performance boost install status changelog included,updates,Low
new featured guide cooking thread discussion started pixelartist setting support site ticket,forum,Low
clearance madness book loyal customer exclusive offer code birthday,promotions,Low
vip preview summer sale discover item shop new style code vip extra,promotions,Low
